cell_row,cell_col,lon,lat,district_id
0,0,66.5,6.5,
0,1,66.75,6.5,
0,2,67.0,6.5,
0,3,67.25,6.5,
0,4,67.5,6.5,
0,5,67.75,6.5,
0,6,68.0,6.5,
0,7,68.25,6.5,
0,8,68.5,6.5,
0,9,68.75,6.5,
0,10,69.0,6.5,
0,11,69.25,6.5,
0,12,69.5,6.5,
0,13,69.75,6.5,
0,14,70.0,6.5,
0,15,70.25,6.5,
0,16,70.5,6.5,
0,17,70.75,6.5,
0,18,71.0,6.5,
0,19,71.25,6.5,
0,20,71.5,6.5,
0,21,71.75,6.5,
0,22,72.0,6.5,
0,23,72.25,6.5,
0,24,72.5,6.5,
0,25,72.75,6.5,
0,26,73.0,6.5,
0,27,73.25,6.5,
0,28,73.5,6.5,
0,29,73.75,6.5,
0,30,74.0,6.5,
0,31,74.25,6.5,
0,32,74.5,6.5,
0,33,74.75,6.5,
0,34,75.0,6.5,
0,35,75.25,6.5,
0,36,75.5,6.5,
0,37,75.75,6.5,
0,38,76.0,6.5,
0,39,76.25,6.5,
0,40,76.5,6.5,
0,41,76.75,6.5,
0,42,77.0,6.5,
0,43,77.25,6.5,
0,44,77.5,6.5,
0,45,77.75,6.5,
0,46,78.0,6.5,
0,47,78.25,6.5,
0,48,78.5,6.5,
0,49,78.75,6.5,
0,50,79.0,6.5,
0,51,79.25,6.5,
0,52,79.5,6.5,
0,53,79.75,6.5,
0,54,80.0,6.5,
0,55,80.25,6.5,
0,56,80.5,6.5,
0,57,80.75,6.5,
0,58,81.0,6.5,
0,59,81.25,6.5,
0,60,81.5,6.5,
0,61,81.75,6.5,
0,62,82.0,6.5,
0,63,82.25,6.5,
0,64,82.5,6.5,
0,65,82.75,6.5,
0,66,83.0,6.5,
0,67,83.25,6.5,
0,68,83.5,6.5,
0,69,83.75,6.5,
0,70,84.0,6.5,
0,71,84.25,6.5,
0,72,84.5,6.5,
0,73,84.75,6.5,
0,74,85.0,6.5,
0,75,85.25,6.5,
0,76,85.5,6.5,
0,77,85.75,6.5,
0,78,86.0,6.5,
0,79,86.25,6.5,
0,80,86.5,6.5,
0,81,86.75,6.5,
0,82,87.0,6.5,
0,83,87.25,6.5,
0,84,87.5,6.5,
0,85,87.75,6.5,
0,86,88.0,6.5,
0,87,88.25,6.5,
0,88,88.5,6.5,
0,89,88.75,6.5,
0,90,89.0,6.5,
0,91,89.25,6.5,
0,92,89.5,6.5,
0,93,89.75,6.5,
0,94,90.0,6.5,
0,95,90.25,6.5,
0,96,90.5,6.5,
0,97,90.75,6.5,
0,98,91.0,6.5,
0,99,91.25,6.5,
0,100,91.5,6.5,
0,101,91.75,6.5,
0,102,92.0,6.5,
0,103,92.25,6.5,
0,104,92.5,6.5,
0,105,92.75,6.5,
0,106,93.0,6.5,
0,107,93.25,6.5,
0,108,93.5,6.5,
0,109,93.75,6.5,
0,110,94.0,6.5,
0,111,94.25,6.5,
0,112,94.5,6.5,
0,113,94.75,6.5,
0,114,95.0,6.5,
0,115,95.25,6.5,
0,116,95.5,6.5,
0,117,95.75,6.5,
0,118,96.0,6.5,
0,119,96.25,6.5,
0,120,96.5,6.5,
0,121,96.75,6.5,
0,122,97.0,6.5,
0,123,97.25,6.5,
0,124,97.5,6.5,
0,125,97.75,6.5,
0,126,98.0,6.5,
0,127,98.25,6.5,
0,128,98.5,6.5,
0,129,98.75,6.5,
0,130,99.0,6.5,
0,131,99.25,6.5,
0,132,99.5,6.5,
0,133,99.75,6.5,
0,134,100.0,6.5,
1,0,66.5,6.75,
1,1,66.75,6.75,
1,2,67.0,6.75,
1,3,67.25,6.75,
1,4,67.5,6.75,
1,5,67.75,6.75,
1,6,68.0,6.75,
1,7,68.25,6.75,
1,8,68.5,6.75,
1,9,68.75,6.75,
1,10,69.0,6.75,
1,11,69.25,6.75,
1,12,69.5,6.75,
1,13,69.75,6.75,
1,14,70.0,6.75,
1,15,70.25,6.75,
