cell_row,cell_col,lon,lat,district_id
2,109,93.75,7.0,0.0
7,43,77.25,8.25,611.0
7,44,77.5,8.25,611.0
7,45,77.75,8.25,632.0
8,42,77.0,8.5,336.0
8,43,77.25,8.5,611.0
8,44,77.5,8.5,632.0
8,45,77.75,8.5,632.0
8,46,78.0,8.5,630.0
9,41,76.75,8.75,336.0
9,42,77.0,8.75,336.0
9,43,77.25,8.75,632.0
9,44,77.5,8.75,632.0
9,45,77.75,8.75,632.0
9,46,78.0,8.75,630.0
10,41,76.75,9.0,330.0
10,42,77.0,9.0,330.0
10,43,77.25,9.0,624.0
10,44,77.5,9.0,624.0
10,45,77.75,9.0,630.0
10,46,78.0,9.0,630.0
10,47,78.25,9.0,630.0
11,40,76.5,9.25,325.0
11,41,76.75,9.25,335.0
11,42,77.0,9.25,335.0
11,43,77.25,9.25,335.0
11,44,77.5,9.25,624.0
11,45,77.75,9.25,630.0
11,46,78.0,9.25,630.0
11,47,78.25,9.25,630.0
11,48,78.5,9.25,620.0
11,49,78.75,9.25,620.0
12,40,76.5,9.5,325.0
12,41,76.75,9.5,331.0
12,42,77.0,9.5,327.0
12,43,77.25,9.5,327.0
12,44,77.5,9.5,638.0
12,45,77.75,9.5,638.0
12,46,78.0,9.5,638.0
12,47,78.25,9.5,638.0
12,48,78.5,9.5,620.0
12,49,78.75,9.5,620.0
13,40,76.5,9.75,331.0
13,41,76.75,9.75,331.0
13,42,77.0,9.75,327.0
13,43,77.25,9.75,627.0
13,44,77.5,9.75,627.0
13,45,77.75,9.75,614.0
13,46,78.0,9.75,614.0
13,47,78.25,9.75,638.0
13,48,78.5,9.75,623.0
13,49,78.75,9.75,620.0
13,50,79.0,9.75,620.0
14,39,76.25,10.0,326.0
14,40,76.5,10.0,326.0
14,41,76.75,10.0,326.0
14,42,77.0,10.0,327.0
14,43,77.25,10.0,327.0
14,44,77.5,10.0,627.0
14,45,77.75,10.0,614.0
14,46,78.0,10.0,614.0
14,47,78.25,10.0,614.0
14,48,78.5,10.0,623.0
14,49,78.75,10.0,623.0
14,50,79.0,10.0,619.0
15,39,76.25,10.25,337.0
15,40,76.5,10.25,326.0
15,41,76.75,10.25,326.0
15,42,77.0,10.25,604.0
15,43,77.25,10.25,327.0
15,44,77.5,10.25,607.0
15,45,77.75,10.25,607.0
15,46,78.0,10.25,607.0
15,47,78.25,10.25,607.0
15,48,78.5,10.25,619.0
15,49,78.75,10.25,619.0
15,50,79.0,10.25,619.0
15,51,79.25,10.25,625.0
16,39,76.25,10.5,337.0
16,40,76.5,10.5,334.0
16,41,76.75,10.5,334.0
16,42,77.0,10.5,604.0
16,43,77.25,10.5,634.0
16,44,77.5,10.5,607.0
16,45,77.75,10.5,607.0
16,46,78.0,10.5,607.0
16,47,78.25,10.5,631.0
16,48,78.5,10.5,619.0
16,49,78.75,10.5,619.0
16,50,79.0,10.5,619.0
16,51,79.25,10.5,625.0
16,52,79.5,10.5,629.0
16,53,79.75,10.5,616.0
17,38,76.0,10.75,333.0
17,39,76.25,10.75,334.0
17,40,76.5,10.75,334.0
17,41,76.75,10.75,334.0
17,42,77.0,10.75,604.0
17,43,77.25,10.75,634.0
17,44,77.5,10.75,634.0
17,45,77.75,10.75,634.0
17,46,78.0,10.75,607.0
17,47,78.25,10.75,612.0
17,48,78.5,10.75,612.0
17,49,78.75,10.75,631.0
17,50,79.0,10.75,625.0
17,51,79.25,10.75,625.0
17,52,79.5,10.75,629.0
17,53,79.75,10.75,616.0
18,38,76.0,11.0,333.0
18,39,76.25,11.0,333.0
18,40,76.5,11.0,334.0
18,41,76.75,11.0,604.0
18,42,77.0,11.0,604.0
18,43,77.25,11.0,634.0
18,44,77.5,11.0,634.0
18,45,77.75,11.0,634.0
18,46,78.0,11.0,612.0
18,47,78.25,11.0,631.0
18,48,78.5,11.0,631.0
18,49,78.75,11.0,631.0
18,50,79.0,11.0,601.0
18,51,79.25,11.0,601.0
18,52,79.5,11.0,625.0
18,53,79.75,11.0,518.0
19,38,76.0,11.25,333.0
19,39,76.25,11.25,333.0
19,40,76.5,11.25,626.0
19,41,76.75,11.25,626.0
19,42,77.0,11.25,604.0
19,43,77.25,11.25,634.0
19,44,77.5,11.25,608.0
19,45,77.75,11.25,608.0
19,46,78.0,11.25,617.0
19,47,78.25,11.25,617.0
19,48,78.5,11.25,631.0
19,49,78.75,11.25,618.0
19,50,79.0,11.25,618.0
19,51,79.25,11.25,601.0
19,52,79.5,11.25,605.0
19,53,79.75,11.25,615.0
20,37,75.75,11.5,332.0
20,38,76.0,11.5,332.0
20,39,76.25,11.5,333.0
20,40,76.5,11.5,626.0
20,41,76.75,11.5,626.0
20,42,77.0,11.5,608.0
20,43,77.25,11.5,608.0
20,44,77.5,11.5,608.0
20,45,77.75,11.5,622.0
20,46,78.0,11.5,617.0
20,47,78.25,11.5,617.0
20,48,78.5,11.5,622.0
20,49,78.75,11.5,622.0
20,50,79.0,11.5,605.0
20,51,79.25,11.5,605.0
20,52,79.5,11.5,605.0
20,53,79.75,11.5,605.0
21,36,75.5,11.75,328.0
21,37,75.75,11.75,332.0
21,38,76.0,11.75,338.0
21,39,76.25,11.75,338.0
21,40,76.5,11.75,300.0
21,41,76.75,11.75,300.0
21,42,77.0,11.75,608.0
21,43,77.25,11.75,608.0
21,44,77.5,11.75,608.0
21,45,77.75,11.75,622.0
21,46,78.0,11.75,622.0
21,47,78.25,11.75,622.0
21,48,78.5,11.75,622.0
21,49,78.75,11.75,609.0
21,50,79.0,11.75,609.0
21,51,79.25,11.75,609.0
21,52,79.5,11.75,605.0
21,53,79.75,11.75,605.0
21,105,92.75,11.75,2.0
22,36,75.5,12.0,328.0
22,37,75.75,12.0,328.0
22,38,76.0,12.0,311.0
22,39,76.25,12.0,315.0
22,40,76.5,12.0,315.0
22,41,76.75,12.0,315.0
22,42,77.0,12.0,300.0
22,43,77.25,12.0,300.0
22,44,77.5,12.0,300.0
22,45,77.75,12.0,606.0
22,46,78.0,12.0,606.0
22,47,78.25,12.0,606.0
22,48,78.5,12.0,606.0
22,49,78.75,12.0,609.0
22,50,79.0,12.0,609.0
22,51,79.25,12.0,637.0
22,52,79.5,12.0,637.0
22,53,79.75,12.0,520.0
22,105,92.75,12.0,2.0
23,35,75.25,12.25,329.0
23,36,75.5,12.25,328.0
23,37,75.75,12.25,311.0
23,38,76.0,12.25,311.0
23,39,76.25,12.25,315.0
23,40,76.5,12.25,315.0
23,41,76.75,12.25,315.0
23,42,77.0,12.25,314.0
23,43,77.25,12.25,300.0
23,44,77.5,12.25,613.0
23,45,77.75,12.25,613.0
23,46,78.0,12.25,606.0
23,47,78.25,12.25,606.0
23,48,78.5,12.25,613.0
23,49,78.75,12.25,635.0
23,50,79.0,12.25,635.0
23,51,79.25,12.25,637.0
23,52,79.5,12.25,637.0
23,53,79.75,12.25,637.0
23,54,80.0,12.25,637.0
24,34,75.0,12.5,329.0
24,35,75.25,12.5,329.0
24,36,75.5,12.5,304.0
24,37,75.75,12.5,311.0
24,38,76.0,12.5,315.0
24,39,76.25,12.5,315.0
24,40,76.5,12.5,314.0
24,41,76.75,12.5,314.0
24,42,77.0,12.5,314.0
24,43,77.25,12.5,317.0
24,44,77.5,12.5,317.0
24,45,77.75,12.5,613.0
24,46,78.0,12.5,606.0
24,47,78.25,12.5,613.0
24,48,78.5,12.5,633.0
24,49,78.75,12.5,633.0
24,50,79.0,12.5,635.0
24,51,79.25,12.5,635.0
24,52,79.5,12.5,635.0
24,53,79.75,12.5,602.0
24,54,80.0,12.5,602.0
24,105,92.75,12.5,1.0
25,34,75.0,12.75,304.0
25,35,75.25,12.75,304.0
25,36,75.5,12.75,304.0
25,37,75.75,12.75,308.0
25,38,76.0,12.75,308.0
25,39,76.25,12.75,308.0
25,40,76.5,12.75,314.0
25,41,76.75,12.75,314.0
25,42,77.0,12.75,314.0
25,43,77.25,12.75,317.0
25,44,77.5,12.75,298.0
25,45,77.75,12.75,298.0
25,46,78.0,12.75,613.0
25,47,78.25,12.75,8.0
25,48,78.5,12.75,8.0
25,49,78.75,12.75,633.0
25,50,79.0,12.75,636.0
25,51,79.25,12.75,635.0
25,52,79.5,12.75,635.0
25,53,79.75,12.75,610.0
25,54,80.0,12.75,602.0
25,105,92.75,12.75,1.0
26,34,75.0,13.0,304.0
26,35,75.25,13.0,304.0
26,36,75.5,13.0,304.0
26,37,75.75,13.0,308.0
26,38,76.0,13.0,308.0
26,39,76.25,13.0,308.0
26,40,76.5,13.0,308.0
26,41,76.75,13.0,314.0
26,42,77.0,13.0,319.0
26,43,77.25,13.0,317.0
26,44,77.5,13.0,298.0
26,45,77.75,13.0,298.0
26,46,78.0,13.0,312.0
26,47,78.25,13.0,312.0
26,48,78.5,13.0,8.0
26,49,78.75,13.0,636.0
26,50,79.0,13.0,636.0
26,51,79.25,13.0,636.0
26,52,79.5,13.0,621.0
26,53,79.75,13.0,610.0
26,54,80.0,13.0,610.0
26,55,80.25,13.0,603.0
27,33,74.75,13.25,320.0
27,34,75.0,13.25,320.0
27,35,75.25,13.25,302.0
27,36,75.5,13.25,302.0
27,37,75.75,13.25,302.0
27,38,76.0,13.25,308.0
27,39,76.25,13.25,308.0
27,40,76.5,13.25,319.0
27,41,76.75,13.25,319.0
27,42,77.0,13.25,319.0
27,43,77.25,13.25,297.0
27,44,77.5,13.25,297.0
27,45,77.75,13.25,297.0
27,46,78.0,13.25,312.0
27,47,78.25,13.25,312.0
27,48,78.5,13.25,312.0
