cell_row,cell_col,lon,lat,district_id
0,0,67.5,7.5,
0,1,68.5,7.5,
0,2,69.5,7.5,
0,3,70.5,7.5,
0,4,71.5,7.5,
0,5,72.5,7.5,
0,6,73.5,7.5,
0,7,74.5,7.5,
0,8,75.5,7.5,
0,9,76.5,7.5,
0,10,77.5,7.5,
0,11,78.5,7.5,
0,12,79.5,7.5,
0,13,80.5,7.5,
0,14,81.5,7.5,
0,15,82.5,7.5,
0,16,83.5,7.5,
0,17,84.5,7.5,
0,18,85.5,7.5,
0,19,86.5,7.5,
0,20,87.5,7.5,
0,21,88.5,7.5,
0,22,89.5,7.5,
0,23,90.5,7.5,
0,24,91.5,7.5,
0,25,92.5,7.5,
0,26,93.5,7.5,
0,27,94.5,7.5,
0,28,95.5,7.5,
0,29,96.5,7.5,
0,30,97.5,7.5,
1,0,67.5,8.5,
1,1,68.5,8.5,
1,2,69.5,8.5,
1,3,70.5,8.5,
1,4,71.5,8.5,
1,5,72.5,8.5,
1,6,73.5,8.5,
1,7,74.5,8.5,
1,8,75.5,8.5,
1,9,76.5,8.5,
1,10,77.5,8.5,532.0
1,11,78.5,8.5,
1,12,79.5,8.5,
1,13,80.5,8.5,
1,14,81.5,8.5,
1,15,82.5,8.5,
1,16,83.5,8.5,
1,17,84.5,8.5,
1,18,85.5,8.5,
1,19,86.5,8.5,
1,20,87.5,8.5,
1,21,88.5,8.5,
1,22,89.5,8.5,
1,23,90.5,8.5,
1,24,91.5,8.5,
1,25,92.5,8.5,
1,26,93.5,8.5,
1,27,94.5,8.5,
1,28,95.5,8.5,
1,29,96.5,8.5,
1,30,97.5,8.5,
2,0,67.5,9.5,
2,1,68.5,9.5,
2,2,69.5,9.5,
2,3,70.5,9.5,
2,4,71.5,9.5,
2,5,72.5,9.5,
2,6,73.5,9.5,
2,7,74.5,9.5,
2,8,75.5,9.5,
2,9,76.5,9.5,261.0
2,10,77.5,9.5,540.0
2,11,78.5,9.5,523.0
2,12,79.5,9.5,
2,13,80.5,9.5,
2,14,81.5,9.5,
2,15,82.5,9.5,
2,16,83.5,9.5,
2,17,84.5,9.5,
2,18,85.5,9.5,
2,19,86.5,9.5,
2,20,87.5,9.5,
2,21,88.5,9.5,
2,22,89.5,9.5,
2,23,90.5,9.5,
2,24,91.5,9.5,
2,25,92.5,9.5,
2,26,93.5,9.5,
2,27,94.5,9.5,
2,28,95.5,9.5,
2,29,96.5,9.5,
2,30,97.5,9.5,
3,0,67.5,10.5,
3,1,68.5,10.5,
3,2,69.5,10.5,
3,3,70.5,10.5,
3,4,71.5,10.5,
3,5,72.5,10.5,
3,6,73.5,10.5,
3,7,74.5,10.5,
3,8,75.5,10.5,
3,9,76.5,10.5,270.0
3,10,77.5,10.5,510.0
3,11,78.5,10.5,522.0
3,12,79.5,10.5,530.0
3,13,80.5,10.5,
3,14,81.5,10.5,
3,15,82.5,10.5,
3,16,83.5,10.5,
3,17,84.5,10.5,
3,18,85.5,10.5,
3,19,86.5,10.5,
3,20,87.5,10.5,
3,21,88.5,10.5,
3,22,89.5,10.5,
3,23,90.5,10.5,
3,24,91.5,10.5,
3,25,92.5,10.5,
3,26,93.5,10.5,
3,27,94.5,10.5,
3,28,95.5,10.5,
3,29,96.5,10.5,
3,30,97.5,10.5,
4,0,67.5,11.5,
4,1,68.5,11.5,
4,2,69.5,11.5,
4,3,70.5,11.5,
4,4,71.5,11.5,
4,5,72.5,11.5,
4,6,73.5,11.5,
4,7,74.5,11.5,
4,8,75.5,11.5,
4,9,76.5,11.5,520.0
4,10,77.5,11.5,511.0
4,11,78.5,11.5,525.0
4,12,79.5,11.5,508.0
4,13,80.5,11.5,
4,14,81.5,11.5,
4,15,82.5,11.5,
4,16,83.5,11.5,
4,17,84.5,11.5,
4,18,85.5,11.5,
4,19,86.5,11.5,
4,20,87.5,11.5,
4,21,88.5,11.5,
4,22,89.5,11.5,
4,23,90.5,11.5,
4,24,91.5,11.5,
4,25,92.5,11.5,
4,26,93.5,11.5,
4,27,94.5,11.5,
4,28,95.5,11.5,
4,29,96.5,11.5,
4,30,97.5,11.5,
5,0,67.5,12.5,
5,1,68.5,12.5,
5,2,69.5,12.5,
5,3,70.5,12.5,
5,4,71.5,12.5,
5,5,72.5,12.5,
5,6,73.5,12.5,
5,7,74.5,12.5,
5,8,75.5,12.5,241.0
5,9,76.5,12.5,251.0
5,10,77.5,12.5,
5,11,78.5,12.5,
5,12,79.5,12.5,536.0
5,13,80.5,12.5,
5,14,81.5,12.5,
5,15,82.5,12.5,
5,16,83.5,12.5,
5,17,84.5,12.5,
5,18,85.5,12.5,
5,19,86.5,12.5,
5,20,87.5,12.5,
5,21,88.5,12.5,
5,22,89.5,12.5,
5,23,90.5,12.5,
5,24,91.5,12.5,
5,25,92.5,12.5,
5,26,93.5,12.5,
5,27,94.5,12.5,
5,28,95.5,12.5,
5,29,96.5,12.5,
5,30,97.5,12.5,
6,0,67.5,13.5,
6,1,68.5,13.5,
6,2,69.5,13.5,
6,3,70.5,13.5,
6,4,71.5,13.5,
6,5,72.5,13.5,
6,6,73.5,13.5,
6,7,74.5,13.5,
6,8,75.5,13.5,239.0
6,9,76.5,13.5,256.0
6,10,77.5,13.5,
6,11,78.5,13.5,
6,12,79.5,13.5,
6,13,80.5,13.5,
6,14,81.5,13.5,
6,15,82.5,13.5,
