cell_row,cell_col,lon,lat,district_id
1,10,77.5,8.5,632.0
2,9,76.5,9.5,325.0
2,10,77.5,9.5,638.0
2,11,78.5,9.5,620.0
3,9,76.5,10.5,334.0
3,10,77.5,10.5,607.0
3,11,78.5,10.5,619.0
3,12,79.5,10.5,629.0
4,9,76.5,11.5,626.0
4,10,77.5,11.5,608.0
4,11,78.5,11.5,622.0
4,12,79.5,11.5,605.0
5,8,75.5,12.5,304.0
5,9,76.5,12.5,314.0
5,10,77.5,12.5,317.0
5,11,78.5,12.5,633.0
5,12,79.5,12.5,635.0
6,8,75.5,13.5,302.0
6,9,76.5,13.5,319.0
6,10,77.5,13.5,301.0
6,11,78.5,13.5,6.0
6,12,79.5,13.5,24.0
7,7,74.5,14.5,321.0
7,8,75.5,14.5,309.0
7,9,76.5,14.5,303.0
7,10,77.5,14.5,5.0
7,11,78.5,14.5,28.0
7,12,79.5,14.5,21.0
8,7,74.5,15.5,296.0
8,8,75.5,15.5,307.0
8,9,76.5,15.5,313.0
8,10,77.5,15.5,15.0
8,11,78.5,15.5,16.0
8,12,79.5,15.5,20.0
9,6,73.5,16.5,427.0
9,7,74.5,16.5,296.0
9,8,75.5,16.5,323.0
9,9,76.5,16.5,324.0
9,10,77.5,16.5,659.0
9,11,78.5,16.5,657.0
9,12,79.5,16.5,18.0
9,13,80.5,16.5,12.0
9,14,81.5,16.5,27.0
10,6,73.5,17.5,424.0
10,7,74.5,17.5,426.0
10,8,75.5,17.5,428.0
10,9,76.5,17.5,310.0
10,10,77.5,17.5,310.0
10,11,78.5,17.5,655.0
10,12,79.5,17.5,644.0
10,13,80.5,17.5,640.0
10,14,81.5,17.5,3.0
10,15,82.5,17.5,13.0
11,6,73.5,18.5,422.0
11,7,74.5,18.5,422.0
11,8,75.5,18.5,405.0
11,9,76.5,18.5,413.0
11,10,77.5,18.5,417.0
11,11,78.5,18.5,661.0
11,12,79.5,18.5,662.0
11,13,80.5,18.5,656.0
11,14,81.5,18.5,159.0
11,15,82.5,18.5,3.0
11,16,83.5,18.5,26.0
12,6,73.5,19.5,429.0
12,7,74.5,19.5,397.0
12,8,75.5,19.5,404.0
12,9,76.5,19.5,421.0
12,10,77.5,19.5,417.0
12,11,78.5,19.5,639.0
12,12,79.5,19.5,650.0
12,13,80.5,19.5,407.0
12,14,81.5,19.5,146.0
12,15,82.5,19.5,510.0
12,16,83.5,19.5,514.0
12,17,84.5,19.5,498.0
13,6,73.5,20.5,419.0
13,7,74.5,20.5,419.0
13,8,75.5,20.5,404.0
13,9,76.5,20.5,402.0
13,10,77.5,20.5,431.0
13,11,78.5,20.5,432.0
13,12,79.5,20.5,403.0
13,13,80.5,20.5,407.0
13,14,81.5,20.5,162.0
13,15,82.5,20.5,512.0
13,16,83.5,20.5,489.0
13,17,84.5,20.5,493.0
13,18,85.5,20.5,494.0
13,19,86.5,20.5,504.0
14,3,70.5,21.5,195.0
14,4,71.5,21.5,186.0
14,6,73.5,21.5,201.0
14,7,74.5,21.5,418.0
14,8,75.5,21.5,367.0
14,9,76.5,21.5,351.0
14,10,77.5,21.5,348.0
14,11,78.5,21.5,416.0
14,12,79.5,21.5,401.0
14,13,80.5,21.5,346.0
14,14,81.5,21.5,134.0
14,15,82.5,21.5,131.0
14,16,83.5,21.5,491.0
14,17,84.5,21.5,495.0
14,18,85.5,21.5,505.0
14,19,86.5,21.5,509.0
15,3,70.5,22.5,194.0
15,4,71.5,22.5,209.0
15,5,72.5,22.5,182.0
15,6,73.5,22.5,203.0
15,7,74.5,22.5,343.0
15,8,75.5,22.5,357.0
15,9,76.5,22.5,356.0
15,10,77.5,22.5,373.0
15,11,78.5,22.5,373.0
15,12,79.5,22.5,386.0
15,13,80.5,22.5,369.0
15,14,81.5,22.5,152.0
15,15,82.5,22.5,147.0
15,16,83.5,22.5,154.0
15,17,84.5,22.5,292.0
15,18,85.5,22.5,293.0
15,19,86.5,22.5,275.0
15,20,87.5,22.5,785.0
15,21,88.5,22.5,789.0
16,2,69.5,23.5,196.0
16,3,70.5,23.5,196.0
16,4,71.5,23.5,196.0
16,5,72.5,23.5,198.0
16,6,73.5,23.5,183.0
16,7,74.5,23.5,549.0
16,8,75.5,23.5,394.0
16,9,76.5,23.5,388.0
16,10,77.5,23.5,350.0
16,11,78.5,23.5,379.0
16,12,79.5,23.5,354.0
16,13,80.5,23.5,365.0
16,14,81.5,23.5,387.0
16,15,82.5,23.5,148.0
16,16,83.5,23.5,132.0
16,17,84.5,23.5,285.0
16,18,85.5,23.5,289.0
16,19,86.5,23.5,788.0
16,20,87.5,23.5,786.0
16,21,88.5,23.5,782.0
16,24,91.5,23.5,673.0
16,25,92.5,23.5,468.0
17,4,71.5,24.5,184.0
17,5,72.5,24.5,592.0
17,6,73.5,24.5,594.0
17,7,74.5,24.5,557.0
17,8,75.5,24.5,375.0
17,9,76.5,24.5,572.0
17,10,77.5,24.5,345.0
17,11,78.5,24.5,727.0
17,12,79.5,24.5,352.0
17,13,80.5,24.5,384.0
17,14,81.5,24.5,382.0
17,15,82.5,24.5,392.0
17,16,83.5,24.5,276.0
17,17,84.5,24.5,100.0
17,18,85.5,24.5,283.0
17,19,86.5,24.5,103.0
17,20,87.5,24.5,274.0
17,25,92.5,24.5,77.0
17,26,93.5,24.5,435.0
18,4,71.5,25.5,551.0
18,5,72.5,25.5,548.0
18,6,73.5,25.5,583.0
18,7,74.5,25.5,554.0
18,8,75.5,25.5,556.0
18,9,76.5,25.5,579.0
18,10,77.5,25.5,390.0
18,11,78.5,25.5,719.0
18,12,79.5,25.5,713.0
18,13,80.5,25.5,692.0
18,14,81.5,25.5,724.0
18,15,82.5,25.5,718.0
18,16,83.5,25.5,710.0
18,17,84.5,25.5,97.0
18,18,85.5,25.5,128.0
18,19,86.5,25.5,106.0
18,20,87.5,25.5,105.0
18,21,88.5,25.5,771.0
18,23,90.5,25.5,451.0
18,24,91.5,25.5,449.0
18,25,92.5,25.5,460.0
18,26,93.5,25.5,481.0
18,27,94.5,25.5,448.0
19,3,70.5,26.5,570.0
19,4,71.5,26.5,570.0
19,5,72.5,26.5,575.0
19,6,73.5,26.5,575.0
19,7,74.5,26.5,545.0
19,8,75.5,26.5,563.0
19,9,76.5,26.5,566.0
19,10,77.5,26.5,561.0
19,11,78.5,26.5,349.0
19,12,79.5,26.5,685.0
19,13,80.5,26.5,753.0
19,14,81.5,26.5,683.0
19,15,82.5,26.5,682.0
19,16,83.5,26.5,712.0
19,17,84.5,26.5,101.0
19,18,85.5,26.5,125.0
19,19,86.5,26.5,110.0
19,22,89.5,26.5,768.0
19,23,90.5,26.5,63.0
19,24,91.5,26.5,83.0
19,25,92.5,26.5,82.0
19,26,93.5,26.5,76.0
19,27,94.5,26.5,477.0
20,3,70.5,27.5,570.0
20,4,71.5,27.5,570.0
20,5,72.5,27.5,584.0
