district_id,state,district,lgd_code,area_km2,is_jk_ladakh
0,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,638,1854.57765,0
1,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,639,3432.474785,0
2,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,640,2548.022911,0
3,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,555N002,12317.17341,0
4,ANDHRA PRADESH,ANAKAPALLI,544N001,3917.373342,0
5,ANDHRA PRADESH,ANANTHAPURAMU,553,10045.180468,0
6,ANDHRA PRADESH,ANNAMAYYA,555N005,8915.328746,0
7,ANDHRA PRADESH,BAPATLA,555N004,3804.71327,0
8,ANDHRA PRADESH,CHITTOOR,554,6662.535711,0
9,ANDHRA PRADESH,DR.B.R.AMBEDKAR KONASEEMA,545N002,2340.26217,0
10,ANDHRA PRADESH,EAST GODAVARI,545,2526.923509,0
11,ANDHRA PRADESH,ELURU,555N003,6361.650268,0
12,ANDHRA PRADESH,GUNTUR,548,2369.635992,0
13,ANDHRA PRADESH,KAKINADA,545N001,2987.623491,0
14,ANDHRA PRADESH,KRISHNA,547,3764.415592,0
15,ANDHRA PRADESH,KURNOOL,552,7790.614683,0
16,ANDHRA PRADESH,NANDYAL,552N001,9557.884226,0
17,ANDHRA PRADESH,NTR,547N001,3209.256513,0
18,ANDHRA PRADESH,PALNADU,548N001,7141.635932,0
19,ANDHRA PRADESH,PARVATHIPURAM MANYAM,555N001,3511.741205,0
20,ANDHRA PRADESH,PRAKASAM,549,14010.952143,0
21,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,550,10249.583087,0
22,ANDHRA PRADESH,SRI SATHYA SAI,553N001,8853.677292,0
23,ANDHRA PRADESH,SRIKAKULAM,542,4305.600336,0
24,ANDHRA PRADESH,TIRUPATI,555N006,8421.714898,0
25,ANDHRA PRADESH,VISAKHAPATNAM,544,968.1597895,0
26,ANDHRA PRADESH,VIZIANAGARAM,543,3814.030235,0
27,ANDHRA PRADESH,WEST GODAVARI,546,2188.858759,0
28,ANDHRA PRADESH,YSR KADAPA,551,10004.588694,0
29,ARUNACHAL PRADESH,ANJAW,628,5816.784103,0
30,ARUNACHAL PRADESH,BICHOM,NOT AVAILABLE,1806.40178,0
31,ARUNACHAL PRADESH,CHANGLANG,229,4920.708226,0
32,ARUNACHAL PRADESH,DIBANG VALLEY,230,9284.090487,0
33,ARUNACHAL PRADESH,EAST KAMENG,231,3474.705887,0
34,ARUNACHAL PRADESH,EAST SIANG,232,1619.899808,0
35,ARUNACHAL PRADESH,KAMLE,718,1812.967016,0
